warning: the VM is running with native name encoding of latin1 which may cause Elixir to malfunction as it expects utf8. Please ensure your locale is set to UTF-8 (which can be verified by running "locale" in your shell)
Timeout: 60.0 seconds ...
Listing queues for vhost / ...
name    messages
MultiSdlFileReader_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER      0
DataQuery_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER       0
Export_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER      0
SubscriberList_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER      0
CustomizeQuery_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER      0
FileCreation_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER        0
List_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER        0
SubscriberList_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1       0
SubscriberList_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER  0
LdapMigration_1_ZAL-SDLA-0111-PRO-VM_MANAGER_LISTENER   0
MetricsService_ZAL-SDLA-0112-OPS-VM_MANAGER_LISTENER    0
BulkQueryConsumer_3_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER   0
FileCreation_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER    0
CustomizeQuery_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1       0
AuditListReader_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER     0
CustomizeQuery_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER  0
LdapSearch_1_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER  0
LdapMigration_1_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER       0
SyslogService_ZAL-SDLA-0112-OPS-VM_RPC_REPLY_1  0
ServiceManager_ZAL-SDLA-0112-OPS-VM_MANAGER_LISTENER    0
EventService_ZAL-SDLA-0112-OPS-VM_RPC_REPLY_1   0
SubscriberList_INPUT    0
BulkQueryConsumer_4_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1    0
BulkQueryConsumer_2_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER       0
FileCreation_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1 0
JobScheduler_RPC_REPLY_1        0
JobManager_RPC_REPLY_1  0
BulkQueryConsumer_5_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER   0
JOB_MANAGEMENT_REGISTRATION_QUEUE       0
BulkQueryConsumer_5_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1    0
MultiSdlFileUpload_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1   0
BulkQueryConsumer_2_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1    0
ListReader_1_ZAL-SDLA-0112-PRO-VM_JOB_MANAGER_LISTENER  0
MetricsService_ZAL-SDLA-0112-OPS-VM_RPC_REPLY_1 0
MANAGEMENT_QUEUE        0
Export_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER  0
NSRDataQuery_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1 0
BulkQueryConsumer_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER       0
JobManager_MANAGER_LISTENER     0
BulkQueryForwarder_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1   0
SubscribersAudit_1_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER        0
List_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1 0
DataQuery_1_ZAL-SDLA-0112-PRO-VM_RPC_REPLY_1    0
BulkQueryConsumer_5_ZAL-SDLA-0112-PRO-VM_MANAGER_LISTENER       0
LdapRollback_1_ZAL-SDLA-0111-PRO-VM_JOB_MANAGER_LISTENER        0
